GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
"G2700010770100","2010","2","4","Minnesota","27","Aitkin County","001",,,"770100",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Census Tract 7701",,2327
"G2700010770200","2010","2","4","Minnesota","27","Aitkin County","001",,,"770200",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Census Tract 7702",,2336
"G2700010770300","2010","2","4","Minnesota","27","Aitkin County","001",,,"770300",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Census Tract 7703",,3268
"G2700010770400","2010","2","4","Minnesota","27","Aitkin County","001",,,"770400",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Census Tract 7704",,3052
"G2700010790501","2010","2","4","Minnesota","27","Aitkin County","001",,,"790501",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Census Tract 7905.01",,1957
"G2700010790502","2010","2","4","Minnesota","27","Aitkin County","001",,,"790502",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Census Tract 7905.02",,3262
"G2700030050107","2010","2","4","Minnesota","27","Anoka County","003",,,"050107",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.07",,2934
"G2700030050108","2010","2","4","Minnesota","27","Anoka County","003",,,"050108",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.08",,4750
"G2700030050109","2010","2","4","Minnesota","27","Anoka County","003",,,"050109",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.09",,5202
"G2700030050110","2010","2","4","Minnesota","27","Anoka County","003",,,"050110",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.10",,2715
"G2700030050111","2010","2","4","Minnesota","27","Anoka County","003",,,"050111",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.11",,3709
"G2700030050114","2010","2","4","Minnesota","27","Anoka County","003",,,"050114",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.14",,2803
"G2700030050115","2010","2","4","Minnesota","27","Anoka County","003",,,"050115",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.15",,5228
"G2700030050116","2010","2","4","Minnesota","27","Anoka County","003",,,"050116",,,,,,,,,,,"33460","99999","378",,,,,,,,,,,,,,"Census Tract 501.16",,4443
